Date,ACN,ASGN,BR,BTCM,CACI,CDW,CNDT,CSPI,CTLP,CTSH,DMRC,DTST,DXC,EPAM,EXLS,FI,FIS,FORTY,G,GDS,GIB,GLOB,HCKT,IBM,III,INFY,INOD,IT,JKHY,LDOS,MGIC,PRFT,SAIC,TTEC,UIS,VNET,VYX,WAVD,WIT,WNS,WYY,XRX
2018-01-02,139.8345489501953,63.36000061035156,81.66802978515625,107.5,134.14999389648438,64.94829559326172,16.540000915527344,5.839521408081055,9.75,65.11787414550781,35.5,0.07000000029802322,78.34992218017578,108.4000015258789,12.052000045776367,65.17500305175781,84.05473327636719,39.196075439453125,30.318077087402344,23.020000457763672,54.56999969482422,45.119998931884766,13.841638565063477,109.54768371582031,3.7648730278015137,6.9448957443237305,1.2699999809265137,124.8499984741211,108.14562225341797,57.99699401855469,7.337194919586182,19.399999618530273,69.78961944580078,34.71855163574219,8.350000381469727,8.420000076293945,21.380367279052734,4.199999809265137,5.563961982727051,39.869998931884766,6.800000190734863,21.82731819152832
2018-01-03,140.4799346923828,63.11000061035156,81.59607696533203,114.4000015258789,137.8000030517578,66.84759521484375,16.25,5.4735798835754395,9.699999809265137,65.6685562133789,35.79999923706055,0.07000000029802322,79.83365631103516,109.7699966430664,12.088000297546387,65.70500183105469,84.54814147949219,40.1037712097168,30.40232276916504,23.0,54.16999816894531,44.970001220703125,13.7892427444458,112.55894470214844,3.7740554809570312,6.885209083557129,1.2599999904632568,125.19000244140625,108.2852554321289,57.92449188232422,7.337194919586182,19.3799991607666,69.63661193847656,34.632179260253906,8.350000381469727,9.0,21.521472930908203,4.199999809265137,5.524984359741211,39.400001525878906,6.900000095367432,21.79758644104004
2018-01-04,142.1433563232422,64.19000244140625,82.24365234375,114.4000015258789,136.60000610351562,68.02067565917969,16.270000457763672,5.644871234893799,9.5,66.7057113647461,36.04999923706055,0.10000000149011612,81.75430297851562,110.02999877929688,12.21399974822998,66.62999725341797,85.17610168457031,40.1037712097168,30.81417465209961,23.15999984741211,54.02000045776367,45.36000061035156,13.797972679138184,114.83863830566406,3.8475167751312256,6.842575550079346,1.2200000286102295,127.30000305175781,110.42601776123047,58.721954345703125,7.573334693908691,19.600000381469727,70.15857696533203,34.632179260253906,8.600000381469727,8.970000267028809,20.907974243164062,4.199999809265137,5.505496025085449,39.13999938964844,6.699999809265137,22.065134048461914
2018-01-05,143.31591796875,65.25,83.25101470947266,116.9000015258789,137.14999389648438,67.90894317626953,16.15999984741211,5.5786895751953125,9.600000381469727,67.27474212646484,36.650001525878906,0.07000000029802322,82.94952392578125,110.20999908447266,12.260000228881836,67.29000091552734,85.66050720214844,40.1037712097168,31.094982147216797,24.5,54.66999816894531,45.41999816894531,13.832903861999512,115.39968872070312,3.8383331298828125,6.970474720001221,1.25,129.33999633789062,111.48707580566406,58.65852355957031,7.505865097045898,19.690000534057617,70.18557739257812,34.54581832885742,8.550000190734863,9.15999984741211,21.1656436920166,4.199999809265137,5.417797565460205,39.689998626708984,6.900000095367432,22.228635787963867
2018-01-08,144.46121215820312,67.94000244140625,83.76368713378906,118.5,138.25,68.01136779785156,16.459999084472656,5.866772651672363,9.5,67.3389892578125,37.900001525878906,0.07000000029802322,82.88358306884766,110.69999694824219,12.315999984741211,67.42500305175781,85.87579345703125,40.387996673583984,31.431955337524414,24.65999984741211,54.18000030517578,46.40999984741211,13.885302543640137,116.09571075439453,3.7740554809570312,7.025897026062012,1.2200000286102295,130.30999755859375,111.5243148803711,60.15373611450195,7.421530246734619,19.690000534057617,70.8065185546875,35.10718536376953,8.649999618530273,9.140000343322754,21.766870498657227,4.099999904632568,5.524984359741211,40.689998626708984,6.800000190734863,22.48874855041504
2018-01-09,144.94296264648438,67.01000213623047,83.92559051513672,116.0,137.8000030517578,67.8344497680664,16.280000686645508,5.936846733093262,9.300000190734863,67.42154693603516,37.650001525878906,0.07000000029802322,83.77383422851562,111.0999984741211,12.229999542236328,68.1449966430664,86.15388488769531,41.139827728271484,31.413244247436523,25.190000534057617,53.75,46.79999923706055,13.981365203857422,116.35135650634766,3.7648730278015137,7.136743068695068,1.2300000190734863,128.9499969482422,112.64122772216797,60.02688217163086,7.421530246734619,19.770000457763672,70.59053802490234,34.50263595581055,8.5,8.770000457763672,21.45398712158203,4.5,5.554217338562012,41.099998474121094,6.900000095367432,22.436729431152344
2018-01-10,144.43392944335938,65.94999694824219,83.62879180908203,127.19999694824219,137.6999969482422,67.35032653808594,16.43000030517578,5.936846733093262,9.199999809265137,67.8896484375,37.349998474121094,0.07000000029802322,83.4441146850586,109.66000366210938,12.28600025177002,68.50499725341797,87.2662353515625,39.883724212646484,31.226032257080078,23.969999313354492,53.029998779296875,46.72999954223633,13.920233726501465,116.59994506835938,3.7924206256866455,7.243324279785156,1.2599999904632568,128.16000366210938,113.86053466796875,60.334991455078125,7.455265045166016,19.65999984741211,70.18557739257812,34.71855163574219,8.649999618530273,8.6899995803833,21.45398712158203,4.5,5.661404132843018,40.43000030517578,6.800000190734863,22.555635452270508
2018-01-11,144.6248321533203,66.9000015258789,84.05148315429688,125.30000305175781,141.35000610351562,67.71342468261719,16.709999084472656,5.948525905609131,9.399999618530273,67.92636108398438,38.849998474121094,0.2800000011920929,83.32872009277344,110.4000015258789,12.430000305175781,68.91500091552734,87.71477508544922,41.1031494140625,31.169858932495117,22.329999923706055,53.099998474121094,47.29999923706055,13.885302543640137,116.61415100097656,3.801602840423584,7.362695217132568,1.2599999904632568,129.61000061035156,114.1863021850586,61.11435317993164,7.337194919586182,19.899999618530273,71.15234375,34.54581832885742,9.0,8.890000343322754,22.04907989501953,4.5,5.573705673217773,41.130001068115234,6.900000095367432,23.67784309387207
2018-01-12,145.5337371826172,66.58999633789062,84.58216857910156,125.69999694824219,137.35000610351562,67.85309600830078,16.90999984741211,6.178213119506836,9.399999618530273,68.43114471435547,39.0,0.5799999833106995,83.49357604980469,110.87000274658203,12.407999992370605,68.61000061035156,87.5622787475586,41.1031494140625,31.00138282775879,23.25,53.65999984741211,47.279998779296875,13.85910415649414,115.86133575439453,3.8199684619903564,7.166585922241211,1.2000000476837158,130.1300048828125,114.83782196044922,60.74278259277344,7.548033714294434,19.6200008392334,70.70059967041016,34.80491638183594,8.899999618530273,8.670000076293945,21.993864059448242,4.900000095367432,5.53472900390625,41.099998474121094,6.699999809265137,24.35413932800293
2018-01-16,143.57952880859375,66.36000061035156,84.60914611816406,119.5,137.39999389648438,67.17345428466797,16.790000915527344,6.540263652801514,9.300000190734863,68.5871810913086,37.400001525878906,0.25999999046325684,83.30397033691406,110.19000244140625,12.513999938964844,68.75499725341797,87.16756439208984,40.06709289550781,31.00138282775879,20.200000762939453,54.369998931884766,48.13999938964844,13.797972679138184,116.3655776977539,3.7924206256866455,7.580124855041504,1.2000000476837158,130.0399932861328,115.16361236572266,60.20812225341797,7.4636969566345215,19.3700008392334,70.19462585449219,34.329917907714844,8.899999618530273,8.270000457763672,22.128833770751953,4.699999809265137,5.778334140777588,41.45000076293945,6.400000095367432,24.042003631591797
