Date,ACN,IBM,FI,INFY,FIS,CTSH,IT,CDW,WIT,GIB,BR,LDOS,EPAM,JKHY,CACI,PSN,GLOB,SAIC,G,EXLS,CLVT,KD,ASGN,AUR,CNXC,DXC,NABL,WNS,VYX,PRFT,XRX,GDS,FORTY,TASK,GDYN,TWKS,CNDT,HCKT,MGIC,VNET,DMRC,CTLP,BBAI,UIS,TTEC,IBEX,INOD,NOTE,III,CSPI,JFU,DTST,BTCM,CLPS,WYY,WAVD
2010-01-04,32.21245193481445,76.76742553710938,12.357500076293945,5.129956245422363,18.960689544677734,21.338363647460938,18.700000762939453,,5.42961311340332,13.510000228881836,16.800153732299805,24.22995376586914,,19.859638214111328,49.58000183105469,,,,12.155147552490234,3.690000057220459,,,7.400000095367432,,,17.669443130493164,,15.180000305175781,6.938650131225586,8.699999809265137,13.918692588806152,,8.368725776672363,,,,,2.217482089996338,1.720196008682251,,14.39697265625,1.6200000047683716,,38.27000045776367,17.124786376953125,,6.050000190734863,,2.9220399856567383,0.7435896992683411,,,,,7.199999809265137,2.0
2010-01-05,32.41155242919922,75.840087890625,12.40999984741211,5.149839878082275,19.77261734008789,21.580013275146484,18.729999542236328,,5.58803653717041,13.510000228881836,16.733516693115234,24.128524780273438,,19.543212890625,48.61000061035156,,,,12.285584449768066,3.7139999866485596,,,7.190000057220459,,,17.663320541381836,,15.199999809265137,6.944785118103027,8.609999656677246,13.934819221496582,,8.664593696594238,,,,,2.0759403705596924,1.7129679918289185,,14.43536376953125,1.649999976158142,,38.709999084472656,16.91756820678711,,6.340000152587891,,2.771510362625122,0.7397370934486389,,,,,7.300000190734863,2.0
2010-01-06,32.756103515625,75.34741973876953,12.357500076293945,5.071209907531738,19.66117286682129,21.580013275146484,18.860000610351562,,5.520826816558838,14.15999984741211,16.62244987487793,24.191923141479492,,19.509899139404297,48.5099983215332,,,,12.4730863571167,3.6659998893737793,,,7.039999961853027,,,17.72758674621582,,15.220000267028809,7.092024803161621,8.579999923706055,13.805792808532715,,8.692769050598145,,,,,2.0208969116210938,1.7057403326034546,,14.39697265625,1.600000023841858,,38.790000915527344,16.83467674255371,,6.059999942779541,,2.7360918521881104,0.757074773311615,,,,,7.199999809265137,1.7999999523162842
2010-01-07,32.72547912597656,75.08661651611328,12.300000190734863,4.916660308837891,19.54973030090332,20.763870239257812,20.440000534057617,,5.314396381378174,14.100000381469727,16.689088821411133,24.204599380493164,,19.493253707885742,47.81999969482422,,,,12.3997163772583,3.6019999980926514,,,7.400000095367432,,,17.550098419189453,,15.010000228881836,7.04294490814209,8.539999961853027,13.870306968688965,,8.55188274383545,,,,,2.0995311737060547,1.5178200006484985,,14.454561233520508,1.600000023841858,,38.08000183105469,16.760074615478516,,6.130000114440918,,2.8954761028289795,0.7455163598060608,,,,,7.199999809265137,1.7999999523162842
2010-01-08,32.59529113769531,75.840087890625,12.162500381469727,4.929314136505127,19.143766403198242,21.36572265625,20.65999984741211,,5.360001087188721,13.949999809265137,16.81496238708496,24.16656494140625,,19.318387985229492,47.599998474121094,,,,12.041013717651367,3.6019999980926514,,,7.409999847412109,,,17.50419044494629,,15.380000114440918,7.159509181976318,8.5600004196167,13.821921348571777,,8.615279197692871,,,,,2.068077325820923,1.4744538068771362,,14.550540924072266,1.6799999475479126,,37.54999923706055,17.00874137878418,,6.21999979019165,,3.0017316341400146,0.7416633367538452,,,,,7.400000095367432,2.0
2010-01-11,32.56468200683594,75.04602813720703,12.227499961853027,4.955525875091553,19.048248291015625,21.19245719909668,20.600000381469727,,5.323997497558594,14.260000228881836,16.866792678833008,24.103168487548828,,19.16850471496582,47.61000061035156,,,,12.228516578674316,3.5859999656677246,,,7.409999847412109,,,17.397085189819336,,15.0600004196167,7.134969234466553,8.630000114440918,14.160618782043457,,8.523706436157227,,,,,2.1231212615966797,1.4166319370269775,,14.5889310836792,1.649999976158142,,36.0099983215332,16.867830276489258,,6.300000190734863,,2.806928873062134,0.7416633367538452,,,,,7.199999809265137,2.0
2010-01-12,32.357940673828125,75.64302062988281,12.119999885559082,5.210393905639648,18.984577178955078,21.520740509033203,20.56999969482422,,5.6240410804748535,14.0600004196167,16.70389747619629,24.128524780273438,,19.085241317749023,47.779998779296875,,,,12.114384651184082,3.5480000972747803,,,7.199999809265137,,,17.207361221313477,,15.25,7.312882900238037,8.5,14.273509979248047,,8.495525360107422,,,,,2.068077325820923,1.3154438734054565,,14.512147903442383,1.7100000381469727,,35.540000915527344,16.353919982910156,,6.059999942779541,,2.8512022495269775,0.7416633367538452,,,,,6.900000095367432,2.0
2010-01-13,32.72547912597656,75.48072814941406,12.22249984741211,5.292641639709473,19.3029727935791,22.241134643554688,21.610000610351562,,5.688851356506348,14.140000343322754,16.866792678833008,24.027097702026367,,19.360027313232422,48.150001525878906,,,,12.204059600830078,3.5980000495910645,,,7.179999828338623,,,17.387908935546875,,15.0600004196167,7.453988075256348,9.010000228881836,14.434797286987305,,8.643461227416992,,,,,2.1073949337005615,1.3009885549545288,,14.617725372314453,1.659999966621399,,35.77000045776367,16.619163513183594,,6.139999866485596,,2.83349347114563,0.7512955069541931,,,,,6.300000190734863,2.0
2010-01-14,33.01643371582031,76.68626403808594,12.1875,5.309812068939209,19.382566452026367,21.93565559387207,22.049999237060547,,5.299993515014648,14.260000228881836,17.007465362548828,24.09049415588379,,19.509899139404297,48.630001068115234,,,,12.513850212097168,3.6059999465942383,,,7.159999847412109,,,17.4460506439209,,15.100000381469727,7.588956832885742,9.180000305175781,14.33802604675293,,8.453262329101562,,,,,2.1231212615966797,1.3082163333892822,,14.608128547668457,1.600000023841858,,35.5099983215332,16.693761825561523,,6.139999866485596,,2.8600571155548096,0.7532221078872681,,,,,6.800000190734863,1.7000000476837158
2010-01-15,32.7790641784668,76.37910461425781,11.984999656677246,5.236603736877441,19.09601402282715,21.84902000427246,21.93000030517578,,5.323997497558594,14.09000015258789,16.585432052612305,23.963701248168945,,19.318387985229492,48.529998779296875,,,,12.334498405456543,3.5899999141693115,,,7.139999866485596,,,17.124738693237305,,15.15999984741211,7.386503219604492,9.149999618530273,14.257390975952148,,8.347594261169434,,,,,2.0523505210876465,1.286532998085022,,14.627323150634766,1.659999966621399,,34.970001220703125,16.188148498535156,,5.829999923706055,,2.8512022495269775,0.7532221078872681,,,,,7.099999904632568,2.0
